Gorilla_ID,Purpose,Concealment,awareness_check_R1,awareness_check_R2
16222706,I'm not sure,How facial expressions can effect your mood,,
16222709,determining how seeing depictions of violence or suffering affect task performance and life satisfaction,I don't know,,
16222710,I believe this study was judgng how people react emotionally and mentally to disturbing images.,thatthe images were AI,,
16222714,not sure honestly,measure how people repsond to certain types of instruction.,,
16222715,I believe the study was to better understand how people perceive cute animal pictures by facial expressions.,How natural people's emotions can be.,,
16222717,To see emotional reactions from disturbing images and to determine if seeing the images changed the current emotional state of the viewer,The math was a distraction,,
16222723,understanding how pictures change mood,Maybe that the math was not important,,
16222732,Mental health,"you don't know, either",,
16222735,To see how people responded to the math and other questions following the video-recorded tasks,Maybe it's some sort of hpyothesis about the relationship between the tasks and one's cognition and mood in a given moment.,,
16222736,To see if extreme stress or dissonance physically causes anomolies with simple math.,That the main thing you were studying was the facial expressions being asked to hold vs what a natural facial reaction would be would cause stress and worse math performance.,,
16222740,not sure,not sure,,
16222753,to see if faces change based on images,the reason for making faces,,
16222774,See how facial expressions and feelings change with math,"Really do not know, but curious to know",,
16222786,To see how actions like smiling can change our emotional scores.,That this isn't about math at all.,,
16222788,"To see if you could get me to think of something else, like how I feel and how my life is going, so that I wouldn't pay attention to the math questions.",There are subliminal messages in the images?,,
16223016,How annoying menial tasks impact our current mood after being shown images to illicit a response.,I don't know. How annoyed your test subjects will be willing to get before quitting?,,
16223037,"Studying instruction following or something?
",That the physical and mathematical tasks were not related/did not impact one another.,,
16226749,"a multitasking study, influence by pictures?",subliminal messaging/ something about the pictures shown.,,
16226750,I am not sure.,I don't know.,,
16226751,the speed and or accurary of basic math problems after doing a basic task or being shown upsetting photos.,no idea,,
16226752,Looking for consistancy by repeating the same questions over and over. Do I really feel the way I answered.,No idea,,
16226754,to look at how the camera pics up emotion on ones face as well as what thing influences one emotions from images presented.,An anctaul final study that provide further movemevt direction.,,
16226757,to see if our answers change and if we grow impatient,well to see if we can follow orders. But it was difficult to not smile or show expression with all those cute pictures of cats and dogs,,
16226762,To see facial expressions after completing tasks and answering questions,"I honestly have no clue, amybe i was training AI",,
16226763,to see if changing the expression on your face changes the outlook on the videos you were seeing or doing random tasks distracted your emotion after seeing certain things maybe,that they were gauge maybe if they reactions effected how we viewed what we were seeing like smiling made the thing in the pictures seem better or worse and they knew that would happen or that maybe different people had different faces they has to show when they did the tasks,,
16226765,I believe the purpose of this study is to see how physical images affect mental health and thinking logically.,Possibly that studies have shown the affect of negative situations have impacts on thinking.,,
16226766,"It said to be about math. But maybe it's to train a.i, on movements and human emotion.",That its a.i. training,,
16226767,I really wish I could answer that question intelligently...,I cannot honestly imagine.,,
16226768,The purpose of the study is whether movement can help with math problems and also contribute to overall happiness and satisfaction.,The details might be that my physical movements won't directly affect my composition and that it was just said in order to motivate me to perform the movements.,,
16226769,"To determine how my view or perception of life changes after being exposed to specific negative emotions, and also exposed by them while forcing the opposite reaction.",The math problems are a way to get my mind off the previous exercise and are irrelevant.,,
16226770,To follow directions and to solve math problems and answer questions about my life.,have fun while solving problems,,
16226772,following directions and repetitive feelsing,I dont know,,
16226773,if i smiled at the second set of pictures?,that the math questions were a distraction?,,
16226774,To see if there's a connection bewteen viewing sad or frustrating images with doing an opposing facial expression,why the math problems existed,,
16226776,The study wants to see if Making certain physical body movements changes how well  Your brain solves math problems by  video recording of  my face and researchers are  trying to see my natural involuntary expression and reactions while I look at different images and work on math.,"the main  reason of the physical tasks  i was asked to do i dont see   how they have impacted  the study 
the instructions said  thata there were distressing images   of which i did not see any",,
16226779,I believe the purpose was if I can follow simple tasks and do more than one thing at the same time.,I am not sure!,,
16226780,I don't have an idea,Maybe how well someone follows instructions and how it affects your mood to look at certain pictures and your performance in math?,,
16226782,how effect of physical movement on ppls math performance,how scenarios can stimulate emotions,,
16226783,starting my day off bad?,who knows...,,
16226785,Perceptions about emotions,How the camera tasks related to doing the math problems,,
16226786,I don't know,I do not know,,
16226788,To understand how math can influence a person's emotions when they had prerequisite actions done.,What I just told you,,
16226789,Affect of images/tasks/facial expression on mood.,It is not about multitasking/math.,,
16226792,If smiling puts you in a better mood.,I am not sure.,,
16226793,How comfortable a user felt giving unnatural responses,No idea,,
16226794,NA,NA,,
16226795,to check a person mental status,im not sure,,
16226797,"I believe the purpose of this study was to see if people can solve problems and think clearly when they are presented with gruesome circumstances, and/or when trying to solve when they are emotional.","A lot of the images were hard to look at with a smile, and I was told tro follow insatructions.",,
16226800,"To see how images change people's perspective, having math be a front for the real study.",The math would not be the main part but only a ruse.,,
16226804,To see how much we pay attention to simple tasks in life,To see how we react to the simple tasks,,
16226806,How outside stimuli affects our well-being and ability to do simple math problems,"That different participants were given different pictures, some pleasant and some not pleasant, as well as instructions to smile or frown and see how that affects the answers about our well-being",,
16226807,NA,I am not sure,,
16226808,to see how negative pictures affect your mood,some pictures may be upsetting and you want to see how they affect the mood and thought process,,
16226809,if i actually read instructions,what it is actually about,,
16226811,concentration and mood,monitoring human reactioin to suffering,,
16226813,To see how one reacts to things and the math equations are supposed to reset one to a neutral state I think?,"That there is some correlation between following certain instructions, doing math equations, and one's feelings.",,
16226814,To see how multitasking impacts basic functions,eye movement was tracked,,
16226816,"I believe it was to see how images of happy smiling people changed my emotional  perspective on life in general and to see if my cognitive skills in math were in tune with my emotional perspective. If they were not, I believe the math test although simple would have had mistakes.",Establishing a coeficient between a cognitive skill like simple math and external stimuli.,,
16226819,facial expression,how facial expression changes with different mood,,
16226822,Determined how you feel depending on your physical and mental state,not really sure,,
16226823,To see the effects of multitasking,The exercises may have been used for something else.,,
16226824,"How disturbing images affect mood, logic, emotions is my best guess.","Maybe the math problems are not even the point, rather a distraction.",,
16226825,To maybe see if different tasks had any effect on mood or how we feel about daily life.,Perhaps needing to see how being told what to do changes our mood.,,
16226826,To see how people can multitask.,To see how people can follow directions.,,
16226827,"You got me on this. I didn't feel anything strongly, to be honest, but I think you were trying to stimulate my emotions in the action requests (actively) and the images I viewed (passively), then activate a different part of my brain with math problems, then test how I felt in that moment, to see if my emotional state could be altered through the visual cortex or the part of the brain that handles movement of my body. I think three different parts of my brain were activated here...","Which parts of the brain are being stimulated during this survey (including typing, looking, moving body parts, evaluating my inner emotional state, problem-solving math numbers, identifying symbols (numbers and operations), etc...",,
16226829,to see how easy or hard it is for people to keep focus and solve a mathmatical problem when also engaging in other stimuli..,maybe that this study has nothing to do with math at all??,,
16226831,I think the study is trying to determine if certain images effect our behavior. But I'm not really suer what the study was about.,NA,,
16226832,to see if it would be hard to focus after doing physical task that had nothing to do with math in anyway,Could be to see human reaction to certain images,,
16226833,"Watch facial mannerisms after prompting, and cleansing palate with math",The content of the images was shocking,,
16226836,Assessing whether smiling and looking as positive pictures aids in how we feel about ourselves and our life,"The purpose is not necessarily related to math and our performance, but rather our self-esteem related to our movements.",,
16226837,to see if a persons mood can be temporarily swayed,what the real point of the physical exercises were,,
16226838,"The impact of pleasant images and minor commands on one's self-image, i.e., an utter delusion.",Something beyond my immediate comprehension.,,
16226839,Hm. Perhaps to test natural reactions vs forced/controlled.,NA,,
16226842,see how movements effect poeple,NA,,
16226843,Unknown.,I'm geninuely not certain.,,
16226844,Perhaps how body movement impacts mood,I'm assuming there are additional details in regards to the purpose of the study.,,
16226845,Effect of body movements on math competency,Perhaps how mood impacts math abilities,,
16226846,probably AI training and if respondents follow instructions,i cannot guess,,
16226848,"how images affect your mood. loved the puppies, kittens & flowers :)",something to do with the affect on us of controlling our facial features v. not?,,
16226852,not sure,not sure,,
16226853,Study body movements in relation to math problems.,I have no idea.,,
16226856,NA,I am not sure.,,
16226857,no idea,i dont know,,
16226860,"Based off of photos shown, what your natural change in emotions were.",NA,,
16226862,to see if images adjusted my outlook on life,That what you are surrounded by can affect your outlook.,,
16226863,to see if you could follow directions,not sure,,
16226866,"Probably 2 folds, see if weird activities and photos shown can change your mood and how you're feeling, and if it would affect your ability to solve simple math problems.","I'm sure there are, most studies do not disclose all of the details and purpose of a study to the people participating, that is to keep the study as honest as possible. So complete honesty I am uncertain of the purpose beyond what I read and completed, and to try and guess I don't think would provide good results. Because if I've learned anything about studies, it's most of the time it's not anything you've thought of.",,
16226868,If doing random tasks while solving equations was distracting or affected my mood.,That the actions didn't have anything to do with the purpose of the study,,
16226869,How distractions might alter answers about one's state of mind,No idea :P,,
16226870,psycology,not sure,,
16226872,to see if AI can pick up on what im doing on the camera,that AI is involved,,
16226876,I literally have no idea,if we are consistent with how we see our lives?,,
16226877,To see how i was going to respond to the violence and mistreatment of animals,Not sure,,
16226878,To determine whether or not forcefully smiling will make people feel happier.,To see if making someone smile on purpose and letting them naturally have facial expressions will change someone's mood or outlook on their life.,,
16226879,Absolutely no idea.,I have no idea.,,
16226880,To see how pictures can affect one's feelings and attitudes towards themselves.,I can't even imagine.,,
16226882,NA,i do not really know,,
16226885,To analyze how distractions impact how people multi-task?,I'm not sure; maybe that each subject was told a different physical task or that there were a range of how hard the math problems were?,,
16226886,Reactions to bad images,Not sure,,
16226887,no idea,no idea,,
16226889,Any difference of feeling during movement followed by math questions.,To see if people can follow instructions without being given all the reasons why certain instructions are to be followed.,,
16226890,I think it was testing if the answers change after doing math problems.,Maybe there are barely percievable differences in how male and female perform this study.,,
16226891,See how certain tasks can change the mood or setting for someone.,not sure,,
16226894,To judge how different images and excersizes affect our cognitiive thinking.,Cognitive patterns.,,
16226896,I believe that I really could not figure out the purpose of the survey.,That it might have something to do with feelings and movements you have at the same time.,,
16226901,to see reactions of disturbing images,i really have no idea,,
16226902,I thought it was to deterime if pyshical(the tasks) or emotional thought processes had an influence on the part of the brain required to do math. But i kinda think the physical task was to lower your emotional guard so responces to the questions about your life would be come more honest depending on the extertion of the previous task.,"I could not guess, however it would be very interested to find out.",,
16226910,It was to test my attention span.,I think those details may be about the math.,,
16226911,Not really sure.,"Maybe how we get annoyed when we are ""forced"" to smile looking at bad situations.",,
16226915,I have no idea maybe the way we move when we are thinking,Maybe our body movements when we are uncomfortable,,
16226937,To see how we feel after performing easy/random tasks,I have no clue,,
16226979,To measure the emotional configuration of survey takers. By using graphic pictures that effect ones emotions you can see how they are wired when viewing images with a neutral or expression with a smile.,I think scientific researchers can see what is in our unconscious by using these pictures that effect us viscerally and how it relates to use cogitationally when doing math in between the visual stimuli,,
16227034,people math performance,investigator,,
16227217,to remember assigned body movements and do math?,to see if we read directions?,,
16229612,explore effects of physical movement on math equations,"that this is training AI, or something like that :/",,
16229613,I am not sure,I am not sure,,
16229614,Tracking emotional change caused by movement tasks,The math questions were irrelevant,,
16229615,I honestly have no idea,"This study had little to do with the easy math questions, I imagine. It was about my reaction to the images?",,
16229616,How physical tasks and triggering emotions impact the brain of the particpant while solving easy math problems.,Use of eye movement,,
16229617,I do not know what the purpose of this study was.,Well I think it might have to do with the recorded parts showing animals rather than people.,,
16229618,Study body movements and math ability,not sure,,
16229619,"not sure, math problems and eye movements",what the actual purpose is,,
16229621,To see facial expressions when someone is having different emotions.,IDK,,
16229622,to see if nice images can affect how we feel about our overall living,i dont know ?,,
16229623,Is to see the extent of a persons emotions through certain activities even of they feel a different way.,Something to do with the math equations but I don't know what is the deal with it.,,
16229624,to see if am attentive,i am not sure but i can say safety,,
16229625,to irritate the subject and see if it affects their cognitive ability,maybe your trying to see how people with varying levels of neuroticism respond to stmuli,,
16229626,To see if forced tasks affected perception,Perhaps why the rating scales,,
16229627,Testing peoples reaction times? I'm not sure,I'm not sure.,,
16229628,Maybe it was to see how we would react to the images,"I'm not sure, maybe there was a trick question",,
16229629,to study how controlling facial expression in response to different visual stimuli affect emotions afterwards,something about putting on a brave face,,
16229630,would action change current mood?,Where do you put your focus?,,
16229631,I am honestly not sure! It might have been testing if the physical tasks and images improved participant mood.,I still don't know!,,
16229632,See if my mood changed.,Not sure.,,
16229634,To see if images could change your mood.,Seeing how mood is affected and can be changed quickly.,,
16229635,How doing certain facial expressions or movements contributed to the way someone feels internally.,I think the math had nothing to do with this study and it was more of a psychological study. I also think the camera was not actually recording the movements.,,
16229636,to study facial expressions maybe,that you guuys were doing facial recognition tests,,
16229638,I'm not sure.,Details about what's the purpose of the study.,,
16229639,to see how smiling and see images impacted my satisfaction and general internal well being,how our brains can change emotional state with sublte cues,,
16229641,this study was simply about the degree individuals are able to follow instructions.,To examine individual behavior!,,
16229643,to tests someone concentration,not sure,,
16229644,Not sure.,I am not sure.,,
16229648,To see the effect that emotions have on mental performance.,Not sure.,,
16229650,Concentration on the mental and emotional state due to imagery,I honestly have no clue,,
16229651,seeing if facial expressions or other movements affected your mood and your ability to think,"Maybe you completely misled us and the study is about something else, like look what people will do for a few bucks?",,
16229652,not sure,not sure,,
16229654,See how physical activity and math solving interact,No idea,,
16229655,facial reaction to some what disburbing images.,No clue.,,
16229656,see how people feel being made to do things compared to lookong at cute photos,NA,,
16229658,Something maybe psychological but obviously to do with math and emotions to see maybe how your decision making or thinking is possibly altered or not altered,Honestly I'm not really sure but maybe that there's secret reward for correct answers or maybe that I was specifically screened because of other screeners in the perfect app or that where other people involved in the study at the same time being compared to me that I'm not aware of,,
16229660,The stated purpose was to study the effect of physical activities on doing math problems.,You were observing changes in expression while viewing pictures.,,
16229661,i prefer not to,i prefer not to,,
16229663,How pictures form emotions,Not sure,,
16229664,to test if certain images or facial expressions can affect mood and math solving ability,whats really being studied,,
16229666,NA,How physical movement affects emotion,,
16229670,To see if someone changes their emotions and opinions on life after seeing different events in the world.,Maybe the missing details are that you can calm your mind by thinking of good things.,,
16229671,I think the study wanted to see if more phsycial tasks would change the speed that we were able to asnwer the math questions,Perhaps the math wasn't important at all and the real focus was our answers to the feeling questions,,
16229672,To see if certain actions cause different answers to questions based on the mood that said actions produced,Maybe something to do with ai? I feel like every study on this site is related to ai in some way,,
16229782,Judging if miming other humans showing a certain emotion affects our emotional state.,"I'm not sure. That this study focuses mostly on the psychology/emotional state, and not the math at all, really?",,
16229792,"Studying our body movements, ability to solve simple math problems, and ability to follow directions",Why we were asked to blink and hit our finger on our nose,,
16229828,Understanding non-verbal reactions to distressing images,I'm not sure,,
16229981,"no idea, but those images were disturbing",i don't know,,
16230045,to torture me with pictures of abused dogs,NA,,
16230234,How one body language cahnge after solving maths problems,No idea.,,
16230235,The purpose of the study may be to gauge how physical activity affects mathematical performance and speed.,They may pertain to why these specific camera movements were chosen.,,
16230236,Im not sure,I really couldn't say,,
16230237,"to see if looking at nice pictures, holding positive facial expressions, or doing something to be more present changed how we felt about life.",what the purpose of each physical movement tasks were.,,
16230238,State of mind or emotions after an event.,If smiling improves your mood?,,
16230239,To test how multitasking affects mood and performance,No idea,,
16230240,how good can i multitask,i dont know,,
16230241,to see how well people follow directions,not sure to be honest,,
16230242,I truly don't know the possible correlation of the tasks & math problems.,NA,,
16230243,To determine the link between asked to do something and emotions,how feelings and emotions played a part in the study,,
16230244,Mood booster affect people's ability to solve quick math,The very basic addition had nothing to do with the study,,
16230246,not sure,not sure,,
16230247,eye tracking,I don't know,,
16230248,To see body movement and math abilities and related emotions,Why that the study is about?,,
16230249,to test my math,to evaluate equations,,
16230250,I have no idea,I have no idea,,
16230251,To get me and others to do different things to see our natural emotions after.,Not sure entirely but maybe it is testing emotions.,,
16230252,Something related to face expressions and body movement?,Expressions and triggers,,
16230253,To determine the effect of distressing images on someone's mood and their ability to complete tasks.,I am not sure.,,
16230254,To see how people racted to poor animals?,IDK.,,
16230256,"at first I thought it was about the impact on particular movements on math ability, but as the study continued, I suspected it to actually be about determining  the impact of particular movements and photos on emotions anbd attitudes towards life","that it was more to study the impact on the affect of particular movements and photos on one's emotions and attitudes towards life. Although with these 2 recent questions, maybe it is actually about determining how likely people are to guess the ""real purpose"" of experiments if the initial purpose is stated to be otherwise",,
16230257,I believe the purpose was to study one's facial expressions in reaction to shocking scenarios.,I believe the exercises were done to prevent Deepfakes.,,
16230258,"The effect about self perception after seeing disturbing images, and also how the focus changes",The study is about mental health,,
16230259,I think it may have to to with some sort of pavlov effect.,This study is being used to train ai bots how to respond to stimuli like humans do.,,
16230260,I dont really know. To see if doing an activity changes how one feels? I recently just got out of a toxic relationship so no matter what do I still feel horrible. My answers didn't really change cause I have been depressed lately...,Im really not sure Im sorry,,
16230261,Facial expressions affecting overall mood,AI information?,,
16230262,how one follows orders,to see if we obey,,
16230263,NA,attention,,
16230264,I have no idea honestly.,I cannot say.,,
16230265,See if pictures change your mood,To tell mood not math,,
16230266,I believe the purpose was evaluating how a combination of physical movements and emotional states affects one's ability to accurately solve simple math problems.,I think those details will have something to do with the study attempting to manipulate the participant's emotional state through images and facial expressions.,,
16230267,I have no idea. Change of emotion when given a simple command.,I have no clue.,,
16230268,How people's feelings change when doing certain body movements,The math problems didn't really matter,,
16230269,i am unsure!  understanding better how being less fully focused or present on what's in front of you can affect your current emotional state?,hopefully that those awful photos are not real,,
16230270,To perform people  experiences and thoughts,Maybe people how you  you can focus more and everything,,
16230272,To see a persons facial expressions after performing math problems.,I do not know.,,
16230273,Not sure,Not sure,,
16230274,"I think the purpose of this study was to see if any of the tasks made me slip up in my math skills. I'm not sure though, the tasks felt pretty random.",Maybe that the study was trying to confuse the participant with random out of left field physical tasks and imagery.,,
16230275,NA,NA,,
16230276,"to see how different stimuli (mood enhancing pictures, physical tasks) affect the speed at answering math problems",maybe that that math problems weren't the important part of the study?,,
16230277,I really don't have a clue,I am not sure,,
16230278,I cannot tell. It was interesting. How distressing images linger and the effect of that lingering,That you didn't record it.,,
16230279,"The Effect of Physical Movement Tasks on People's Math Performance. Also to analyse human expression may be when you see robbery, burglary or cruelty to animals.",I have made some comments before. But the head touching and blinking and the noe tipping tasks were to gauge attentiveness. The image tasks were to analyse or study human expression or emotions in times when they see disturbing images and how long is it possible to put a straight face when they see things wrong.,,
16230285,to see if people read directions?,unsure,,
16230289,impact of emotions while forcing facial images,Not sure,,
16230293,no clue,To determine how feelings change over time,,
16230314,I'm not sure,I don't know,,
16230349,Really not sure,Something to do with the repeated questions,,
16230433,to understand how emotional distress impacts cognitive ability,relating to the distressing images shown for 2 out of 4 physical tasks,,
16232196,I am beliving it has some reaserch potential for psychology.,Reactions to the pictures?,,
16232200,not sure!,"something about the source of the images, perhaps",,
16232201,To test following directions,None,,
16232205,no clue,I dont know. there was alot of repetition,,
16232212,I have no idea,the physical tasks were for something else.,,
16232214,to see how certian phsical movements affect ones ablity to think and do math problems.,that how these diffrent patterns effect you brain when making complex decsions.,,
16232215,Facial recognition for AI.,No idea.,,
16232219,The effect of violent images on mood and math performance.,Deception was used in the experiment and the study is not about what the experimenters described.,,
16232220,attention span,i am not sure,,
16232221,To determine how images effect mood,That this is trying to measure mood.,,
16232224,To explore the effect of physical movement when faced with a challenge that involves stillness,"i can't say, tell me",,
16232230,Showcase skills of cognition alongside emotionality,I am not sure,,
16232231,if facial expression changes emotions,I don't know.,,
16232232,reaction between emotions and tasks,not sure,,
16232233,To see how I followed instructions after completing mathematical problems,I am not sure,,
16232238,to evaluate facial expression,no clue,,
16232240,to see how people concerntrate,not sure,,
16232241,not sure ... eye movement / attention,not sure,,
16232243,Human Psychology,The actual purpose in full details.,,
16232246,Monitor how different situations may alter your emotions or math functionality.,Not sure,,
16232247,Despite the multitasking purpose stated at the beginning I feel this may have had something to do with AI verification do to the strangely specific arbitrary physical tasks,It is related to AI,,
16232248,I was just wondering that. For this one i know it had something to do with multitasking and I am guessing mood,"I honestly do not know, but am looking forward to reading about them on the next page",,
16232250,No clue!,Measuring how tasks and images impact mental health.,,
16232252,To understand how people's actions when provided instructions affect their academic performance.,The full extent and purpose of the study.,,
16232254,i dont know,math and listening to instructions,,
16232255,This is a hard one. The math was too easy to be really what you were testing. My guess is it had something to do with measuring how much certain people display their feelings on their face based on disgust.,Pretty much what I said in previous textbox. It had nothing to do with math and something to do with disgust.,,
16232258,my perception in life and how likely I will change my responses,people's perception and how their personality might change due to external factors,,
16232260,Was it to prove physical activity and completing basic math problems eases lackluster feelings about life?,"I do not know, but I want to know.",,
16232261,To see how movements and images shape our cognition and emotion,i have no idea,,
16232262,To see how different stimuli can change your mood and performance.,That we were not recorded.,,
16232263,Regulation of emotions,I am not really sure. But could it have something to do with the interaction between the left side and the right side of my brain?,,
16232265,to see the effect of physical movement on math problems,"do different movements or forced facial expressions change how you feel about life, or your current mental state",,
16232266,how body movement effects emotions and cognition,assesing peoples emotional well being?,,
16232268,To show images and do task that could change moods of people taking these tests.,Mood changes.,,
16232269,"i am not entirely sure, I was actually trying to figure that ou during the study. Maybe to just make sure I am human.",What the actual purpose is,,
16232271,to see how eople moce while doing math concentration,not sure,,
16232272,To see if ones mood could be changed through silly repetitive behaviours.,I’m not sure. Is the revelation of why I had to complete the movement exercises,,
16232276,"To train AI? Or to test how well people can switch to a new task, such as answering math problems.","I'm really not sure, I can't think of anything",,
16232277,"I am honestly not sure, but maybe its to see what effect pleasent pictures have on ones mood and ability to perform math functions.","no ideo, but I am interested.",,
16232279,I really have no idea.,I really don't have a clue.,,
16232284,Emotion related to brain cognition,How emotions relate to math,,
16232286,attention to detail,mathematical skills,,
16232287,"See if people actually follow directions. Also, does movement help with the speed of answering math questions and does movement help improve feelings of satisfaction.",See if movement helps improve feelings of satisfaction.,,
16232289,it is the effect of physical movement of the body and people’s math performance.,the image to the body movement part.,,
16232290,to see if being subjected to pictures of certain things changed or affected your ability to thing about something that required thought immediately agter,im not sure,,
16232293,"I'm actually not sure, the maths were easy as well as the tasks...",Are yuo checking if people follow prompts just for the sake of the study,,
16232295,To see if you could smile through some distressing images (particularly the dogs) and how that would change your mood after seeing them.,I'm honestly not sure. Perhaps the link between the math and the body movements? Maybe the sense of accomplishment came from the math?,,
16232298,seeing if pleasent images help moods?,seeing if answers change after images,,
16232299,how people differently react to different visuals and their descisions after what they see.,maybe how can visuals affect the brain can do math!,,
16232300,I have no idea,No clue,,
16232306,The effects of unpleasant stimuli on the human mind when computing arithmetic.,How much our amygdala can affect arithmetic thinking.,,
16232309,no clue,i don't know,,
16232312,To see if physical activity corelates with better mental health.,Why I need to do these exact actions for these tasks for your testing.,,
16232313,"the physical movements required very litte effort, mentally or physically, and the math problems were simple. Perhaps the speed of completing the problems was being compared to a standard?",you distracted me with the movements and math while you accessed my computer files?,,
16232314,I wonder if the nature of the task (smiling and seeing cute pictures of kittens vs. a repetitive physical task that was hard to do while clicking a mouse) affected mood/outlook?,"Hm, something about analyzing what the camera was looking for?",,
16232315,i have no idea.,i don't know,,
16232316,To see how certain tasks affected emotions.,not sure,,
16232317,I believe the purpose was to see if facial expression can override outside stimulus.,That is an interesting question. I'm not sure what the purpose that you have not told about is.,,
16232318,I'm not sure.,I'm not sure.,,
16232319,i have no idea very hard to understand but i guess for some type of research on our reactions to horrible things to look at.,Not sure.,,
16232322,I don't know,I don't know,,
16232323,To understand the effect of physical movement tasks on math performance.,I have no idea.,,
16232328,emotions,not sure,,
16232332,To see if some of the photos were disturbing and maybe to see how easily people get annoyed while multitasking?,Maybe the directions did not match the photos exactly to see how annoyed or irritating that might be on purpose?,,
16232333,To study human alertness and reaction to life situation,Mood change related to physical movement,,
16232337,not sure,also not sure,,
16232339,To train AI with facial expressions and movements,That my images will be used to train AI,,
16232341,Getting videos of people,You will use the videos for another purpose,,
16232343,I'm not sure.,NA,,
16232346,The purpose of this study is to track physical movements then solve math problems.,I think to test our performance and behavior.,,
16232347,I really don't know maybe directions,that there was no physical directions,,
16232348,"If a change in mood and concentration on a task changes the performance in another task... but the math problems were too easy. So, it could be aimed at testing 'honesty', in responding to the questions, since you do not have to rememer your answers if they are true.",I am not sure.,,
16232355,Reactions in solving math,NA,,
16232358,i don't know,it feels like what i was initially told was the purpose of the survey was not the truth.,,
16232360,"To see if pictures effect your face, and if motion makes you think differently","That this study is for many things such as expressions, math, and following directions",,
16232361,To determine how physical movements affect 0ur moods?,about the relation of physical movements and our mood,,
16232365,To see if smiling would make a person feel happier - or AI training?,Maybe eye tracking and seeing which images we were looking at.,,
16232370,no idea,probably something improtant regarding the study,,
16232371,NA,NA,,
16232373,"If the purpose is not to original one described to me at the beginning, then I beleive the purpose was to measure the impact of the cute photos to my thoughts about my life.",I think the purpose of the survey had more to do with the photos and the impact seeing cute and sweet animals / flowers have on my thoughts on my own life.,,
16232376,I have no clue,I am not sure,,
16232383,do you see if my thoughts about myself and life changed after smiling,that people tend to rate higher satisfaction after smiling?,,
16232384,How things can make us happy or annoyed,Maybe you wanted to see natural facial expressions would change? EG at first I had a forced smile but maybe it became more natural over time?,,
16232391,"I think the purpose of this study may have been to see how you react to different sets of annoying and sad images as well as some aggrivating ones. Three image pairs being the illegally parked, the robber, and a sad image of abused animals. You had to smile throughout, which admittedly was a challenge. The math however, I'm not real sure what that was supposed to entail. Perhaps it was supposed to become a bit harder after viewing the images and completing the physical tasks, but I'm not sure.",I'm not real sure. Probably something to do with why the math was used and you also left out there would be some unsettling images of abused animals.,,
16232396,Odd tasks changing choices,Something related to the tasks and decisions,,
16232398,Not really sure,I don't know,,
16232402,To see if people could remain focused for each part,The physical part meant nothing,,
16232405,to test peoples math abilities with numbers and cordination.,i cant really think of any details that come to mind.,,
16232407,It is measuring how people feel after seeing distressing images while performing different facial expressions (both forced and natural).,Not sure what the math problems were for.,,
16232415,Natural responses to stimuli,Not sure,,
16232427,NA,NA,,
16232477,The purpose was to assess if people can multitask and solve math problems.,What this study is truly measuring.,,
16232509,TO TEST REACTIONS TO DISTURBING IMAGES,GAUGE RESPONSES TO DISTURBING IMAGES,,
16232549,See how our physical tasks affect our emotions and how we feel about ourselves,The only thing I can think of is the math part is probably irrelevant to the actual study taking place.,,
16232652,maybe to see how well people follow instructions based on their emotional state,"maybe the reson for the physical movements, they were very minor so just curious what they could be measuring",,
16232759,I have no idea. The facial expression sections did not make sense to me.,Different testers are provided different images,,
16232765,to solve math problems,im not sure,,
16232791,Measuring the impact of faking emotion,What the actual purpose was,,
16233441,Not sure,I'm not quite certain.,,
16233443,math and body movements andhow they correlate,How your body moves in seconds and how math incorporates your brain to thinking and adding movements!,,
16233444,I think this study was following facial expressions and eye movement during the parts where pictures were shown.  Followed by how it effects decision making and collecting that data,facial expresssions/psycology/cause&effect on decision making,,
16233447,See how my judgments change after being exposed to disturbing images,No idea,,
16233448,im not sure to study what people feel,the reasoning,,
16233450,"Sorry, not really sure?","Again, not sure?",,
16233451,NA,NA,,
16233453,To gage the emotions and found in humans after viewing simple images and performaing simple math equations.,I honestly have no idea!,,
16233455,to see if our emotions would change based on tasks and picture shown,you were trying to make us think differently than how we actually feel,,
16233456,?,"Do positive, cute images change someone's perspective?",,
16233457,to see if our feelings changed after seeing back videos,that we were manipulated and lied to,,
16233459,to study how movements  influence emotion,I don't know,,
16233460,Whether genuine movement/emotion changes speed of completing math problems?,Maybe you're measuring something else like eye movements,,
16233464,Ability to follow instructions.,Reactions to unsetting images?,,
16233465,i'm not actually sure. something about happiness and facial expressions and movement.,what the real purpose of the study was.,,
16233466,no idea,no idea,,
16233467,unsure,what the study is about,,
16233468,"To see how peole react to bad images
",NO,,
16233469,I am not sure.,I am not sure,,
16233470,to see if the pictures have anything to do with mood,pictures may make you think differently,,
16233472,testing if we reacted to the pictures when we were supposed to keep a smile,that what you were testing was reactions,,
16233473,"to measure how small things can trigger ones emotions and what they think about their life overall. Do they feel like life is moving the way they wanted, would they cahnge anything if given a chance and the videos where to test if there is an actual person completing the study and how they were triggered by the requests like tapping nose for 5 seconds.",The goal was to explore physical movement on people's math performance. i think study is not detailed yet,,
16233474,No clue,I don't know,,
16233475,To determine the affects of facial expressions on people's outlook on life.,This study wasn't about how physical activity affects math performance.,,
16233476,"To determine if negative images effect my feelings on life?
","not sure
",,
16233477,To see if repeated exposure to umpleasnat images or seemingly random motor movements would impact mood or life satisfaction.,The images were AI generated.,,
